20:23:20.424 -> A, B, C
20:23:20.424 -> 1069, 925, 742
20:23:20.491 -> 1205, 1017, 789
20:23:20.524 -> 1209, 1018, 791
20:23:20.590 -> 1206, 1019, 790
20:23:20.623 -> 1210, 1016, 793
20:23:20.690 -> 1196, 1017, 791
20:23:20.756 -> 1209, 880, 797
20:23:20.790 -> 1202, 1017, 791
20:23:20.856 -> 1204, 1014, 790
20:23:20.889 -> 1204, 1017, 794
20:23:20.956 -> 1204, 1016, 791
20:23:20.989 -> 1207, 1018, 797
20:23:21.056 -> 1202, 1021, 795
20:23:21.089 -> 1203, 1018, 793
20:23:21.156 -> 1209, 1014, 793
20:23:21.189 -> 1208, 1014, 789
20:23:21.256 -> 1206, 1015, 791
20:23:21.289 -> 1209, 1015, 793
20:23:21.355 -> 1206, 1018, 793
20:23:21.422 -> 1206, 1016, 789
20:23:21.455 -> 1205, 1015, 793
20:23:21.521 -> 1211, 1017, 792
20:23:21.555 -> 1210, 1014, 793
20:23:21.621 -> 1203, 1015, 794
20:23:21.655 -> 1203, 1017, 794
20:23:21.721 -> 1207, 1009, 791
20:23:21.754 -> 1205, 1017, 793
20:23:21.821 -> 1200, 1015, 791
20:23:21.854 -> 1205, 1014, 795
20:23:21.920 -> 1209, 1017, 794
20:23:21.954 -> 1205, 1014, 792
20:23:22.020 -> 1205, 1018, 791
20:23:22.053 -> 1206, 1018, 794
20:23:22.120 -> 1206, 1018, 791
20:23:22.186 -> 1207, 1017, 795
20:23:22.219 -> 1206, 1014, 794
20:23:22.286 -> 1194, 1017, 794
20:23:22.319 -> 1206, 1016, 796
20:23:22.385 -> 1204, 1014, 794
20:23:22.419 -> 1204, 1017, 796
20:23:22.485 -> 1208, 1015, 796
20:23:22.518 -> 1205, 1018, 794
20:23:22.584 -> 1201, 1015, 793
20:23:22.618 -> 1202, 1014, 794
20:23:22.684 -> 1201, 1017, 794
20:23:22.717 -> 1207, 1014, 794
20:23:22.784 -> 1209, 1016, 797
20:23:22.850 -> 1200, 1015, 795
20:23:22.884 -> 1206, 1015, 795
20:23:22.950 -> 1205, 1017, 792
20:23:22.983 -> 1209, 1013, 795
20:23:23.050 -> 1205, 1017, 792
20:23:23.083 -> 1205, 1017, 792
20:23:23.150 -> 1208, 1015, 791
20:23:23.183 -> 1205, 1016, 793
20:23:23.249 -> 1203, 1014, 795
20:23:23.283 -> 1207, 1016, 793
20:23:23.349 -> 1203, 1012, 794
20:23:23.382 -> 1205, 1015, 791
20:23:23.449 -> 1209, 1016, 791
20:23:23.482 -> 1208, 1016, 791
20:23:23.548 -> 1206, 1017, 790
20:23:23.615 -> 1206, 1015, 795
20:23:23.648 -> 1207, 1013, 794
20:23:23.714 -> 1209, 1015, 792
20:23:23.748 -> 1203, 1016, 791
20:23:23.814 -> 1206, 1015, 790
20:23:23.847 -> 1204, 1016, 796
20:23:23.914 -> 1202, 1017, 794
20:23:23.947 -> 1205, 1016, 794
20:23:24.013 -> 1203, 1014, 790
20:23:24.047 -> 1210, 1015, 794
20:23:24.130 -> 1206, 1015, 790
20:23:24.146 -> 1204, 1016, 793
20:23:24.212 -> 1209, 1017, 793
20:23:24.246 -> 1205, 1014, 794
20:23:24.312 -> 1213, 1015, 793
20:23:24.379 -> 1213, 1014, 791
20:23:24.412 -> 1208, 1015, 789
20:23:24.478 -> 1205, 1015, 795
20:23:24.511 -> 1209, 1017, 792
20:23:24.578 -> 1206, 1035, 789
20:23:24.611 -> 1209, 1016, 794
20:23:24.678 -> 1206, 1005, 792
20:23:24.711 -> 1208, 1017, 788
20:23:24.777 -> 1208, 1015, 790
20:23:24.810 -> 1203, 1019, 791
